block,name,ra,dec,priority
A,ACT-CL_J0019.0-4051,00:19:02.146,-40:51:44.67,2
A,ACT-CL_J0029.1-3708,00:29:10.595,-37:08:03.24,2
A,ACT-CL_J0033.6+0242,00:33:38.870,+02:42:57.29,1
A,ACT-CL_J0040.0-0710,00:40:00.479,-07:10:42.54,2
A,ACT-CL_J0044.7-0205,00:44:46.976,-02:05:59.99,1
A,ACT-CL_J0117.9-0952,01:17:59.013,-09:52:29.99,2
A,ACT-CL_J0125.0-0531,01:25:05.134,-05:31:01.21,2
A,ACT-CL_J0317.2-5935,03:17:15.286,-59:35:36.43,2
A,ACT-CL_J0355.9-3741,03:55:58.479,-37:41:36.58,2
A,ACT-CL_J0403.8-5719,04:03:51.695,-57:19:27.64,2
A,ACT-CL_J0510.8-1535,05:10:53.408,-15:35:59.75,2
A,ACT-CL_J0655.8-5234,06:55:52.533,-52:34:17.32,2
A,ACT-CL_J0826.0+0419,08:26:04.308,+04:19:28.57,2
A,ACT-CL_J0841.3+1141,08:41:19.393,+11:41:55.95,2
A,ACT-CL_J2126.0-0030,21:26:03.948,-00:30:59.81,2
A,ACT-CL_J2151.2+1201,21:51:17.974,+12:01:30.07,2
A,ACT-CL_J2318.7+1305,23:18:42.844,+13:05:26.71,1
A,ACT-CL_J2321.8+1505,23:21:48.704,+15:05:31.03,1
A,ACT-CL_J2342.2+1315,23:42:13.015,+13:15:45.69,1
