block,name,ra,dec,months,priority
B,ACT-CL_J1032.1-0249,10:32:08.807,-02:49:40.37,2-3-4-5-6-7,1
B,ACT-CL_J1059.9+1448,10:59:56.053,+14:48:19.43,2-3-4-5-6,1
B,ACT-CL_J1116.0+1824,11:16:02.120,+18:24:25.75,2-3-4-5-6,1
B,ACT-CL_J1116.3+0329,11:16:19.019,+03:29:00.05,2-3-4-5-6-7,1
B,ACT-CL_J1141.9+1941,11:41:59.153,+19:41:38.82,2-3-4-5-6,1
B,ACT-CL_J1152.2+0031,11:52:13.884,+00:31:19.68,2-3-4-5-6-7,1
B,ACT-CL_J1156.0+0529,11:56:04.138,+05:29:10.91,2-3-4-5-6-7,1
B,ACT-CL_J1157.5+1838,11:57:30.245,+18:38:21.56,2-3-4-5-6,1
B,ACT-CL_J1202.5+1827,12:02:33.582,+18:27:04.80,2-3-4-5-6,1
B,ACT-CL_J1250.5+0928,12:50:35.391,+09:28:23.21,2-3-4-5-6-7,1
B,ACT-CL_J1256.2+1635,12:56:13.309,+16:35:32.10,2-3-4-5-6-7,1
B,ACT-CL_J1303.5+0939,13:03:35.026,+09:39:44.35,2-3-4-5-6-7,1
B,ACT-CL_J1305.7+1417,13:05:47.005,+14:17:44.99,2-3-4-5-6-7,1
B,ACT-CL_J1317.9+1501,13:17:56.866,+15:01:02.91,2-3-4-5-6-7,1
B,ACT-CL_J1341.8+0703,13:41:48.745,+07:03:42.26,2-3-4-5-6-7,1
B,ACT-CL_J1403.1+0346,14:03:07.188,+03:46:12.31,2-3-4-5-6-7,1
B,ACT-CL_J1418.9+0900,14:18:56.736,+09:00:33.71,2-3-4-5-6-7,1
B,ACT-CL_J1451.6+0255,14:51:41.124,+02:55:09.75,2-3-4-5-6-7,1
B,ACT-CL_J1501.5+1940,15:01:33.905,+19:40:26.28,2-3-4-5-6-7,1
B,ACT-CL_J1513.7+0525,15:13:46.602,+05:25:43.51,2-3-4-5-6-7,1
B,ACT-CL_J1535.4+0146,15:35:26.417,+01:46:58.00,2-3-4-5-6-7,1
B,ACT-CL_J1602.4+1231,16:02:24.408,+12:31:00.45,2-3-4-5-6-7,1
B,ACT-CL_J1621.7+1604,16:21:47.511,+16:04:20.19,3-4-5-6-7,1
B,ACT-CL_J1622.0+1622,16:22:05.026,+16:22:14.80,3-4-5-6-7,1
B,ACT-CL_J1635.1+1529,16:35:06.832,+15:29:08.54,3-4-5-6-7,1
B,ACT-CL_J1636.7+1654,16:36:45.843,+16:54:26.72,3-4-5-6-7,1
