block,name,ra,dec,priority
A,ACT-CL_J1038.7+0236,10:38:46.325,+02:36:50.72,1
A,ACT-CL_J1104.5+1110,11:04:32.328,+11:10:55.22,1
A,ACT-CL_J1110.3+0143,11:10:22.997,+01:43:45.46,1
A,ACT-CL_J1413.2+0906,14:13:16.998,+09:06:59.97,1
A,ACT-CL_J1441.0+1425,14:41:02.045,+14:25:26.34,1
A,ACT-CL_J1454.3+0905,14:54:21.444,+09:05:43.21,1
A,ACT-CL_J1530.0+1227,15:30:00.706,+12:27:50.82,1
A,ACT-CL_J1534.2+1009,15:34:16.212,+10:09:10.95,1
A,ACT-CL_J1603.7+0605,16:03:46.028,+06:05:14.56,1
A,ACT-CL_J2050.4-0055,20:50:29.520,-00:55:43.10,2
A,ACT-CL_J2118.9-5055,21:18:54.492,-50:55:58.65,2
