block,name,ra,dec,priority
B,ACT-CL_J0019.0-4051,00:19:02.190,-40:51:44.49,2
B,ACT-CL_J0029.1-3708,00:29:10.583,-37:08:02.32,2
B,ACT-CL_J0033.6+0242,00:33:38.677,+02:42:54.36,1
B,ACT-CL_J0040.0-0710,00:40:00.147,-07:10:39.98,2
B,ACT-CL_J0044.7-0206,00:44:46.991,-02:06:00.26,2
B,ACT-CL_J0117.9-0952,01:17:59.985,-09:52:44.89,1
B,ACT-CL_J0125.0-0531,01:25:05.079,-05:31:01.03,1
B,ACT-CL_J0317.2-5935,03:17:15.925,-59:35:26.35,2
B,ACT-CL_J0336.7-0734,03:36:47.837,-07:34:43.08,1
B,ACT-CL_J0355.9-3741,03:55:58.425,-37:41:39.89,2
B,ACT-CL_J0403.8-5719,04:03:51.419,-57:19:27.50,2
B,ACT-CL_J0510.9-1536,05:10:54.055,-15:36:00.08,2
B,ACT-CL_J0655.8-5234,06:55:52.904,-52:34:20.88,2
B,ACT-CL_J2149.9+1213,21:49:57.565,+12:13:33.11,2
B,ACT-CL_J2151.2+1201,21:51:17.759,+12:01:32.70,2
B,ACT-CL_J2237.3-3148,22:37:19.476,-31:48:27.48,2
B,ACT-CL_J2318.7+1305,23:18:42.488,+13:05:29.51,2
B,ACT-CL_J2321.8+1505,23:21:48.783,+15:05:28.46,1
B,ACT-CL_J2342.2+1316,23:42:14.249,+13:16:05.72,1
